Site,Canopycover
1,92.74
1,86.48
1,87.52
1,91.68
1,98.96
1,96.88
1,89.96
1,92.52
1,90.64
1,89.6
1,94.8
1,96.8
2,100
2,90.64
2,93.76
2,95.84
2,97.92
2,94.8
2,95.8
2,94.8
2,96.88
2,90.64
2,96.88
2,93.76
3,70.88
3,45.92
3,74
3,43.84
3,63.6
3,45.92
3,87.52
3,80.24
3,98.96
3,95.84
3,97.92
3,71.92
4,92.72
4,90.64
4,88.56
4,93.76
4,90.64
4,89.6
4,88.56
4,86.48
4,86.48
4,95.84
4,96.88
4,95.84
